GEOID,sTract,Pct_ViolentCrime
14000US17031660700,660700,0.023053
14000US17031660800,660800,0.0124224
14000US17031660900,660900,0.018245
14000US17031661000,661000,0.0154049
14000US17031661100,661100,0.0050761
14000US17031670100,670100,0.0134771
14000US17031670200,670200,0.0181369
14000US17031670300,670300,0.0279232
14000US17031670400,670400,0.0117493
14000US17031670500,670500,0.0426829
14000US17031670600,670600,0.0197513
14000US17031670700,670700,0.0323501
14000US17031670800,670800,0.0286134
14000US17031670900,670900,0.0183566
14000US17031671100,671100,0.0193843
14000US17031671200,671200,0.0328738
14000US17031671300,671300,0.0286867
14000US17031671400,671400,0.0271493
14000US17031671500,671500,0.0259548
14000US17031671600,671600,0.0184405
14000US17031671800,671800,0.0194647
14000US17031671900,671900,0.0202899
14000US17031672000,672000,0.0166776
14000US17031680500,680500,0.0189613
14000US17031680600,680600,0.0221654
14000US17031680900,680900,0.0232011
14000US17031681000,681000,0.0292468
14000US17031681100,681100,0.0214621
14000US17031681200,681200,0.0186916
14000US17031681300,681300,0.0230248
14000US17031681400,681400,0.0213657
14000US17031690300,690300,0.0245184
14000US17031690400,690400,0.0227751
14000US17031690500,690500,0.0173833
14000US17031690900,690900,0.016436
14000US17031691000,691000,0.0156951
14000US17031691100,691100,0.0148402
14000US17031691200,691200,0.0312152
14000US17031691300,691300,0.0131633
14000US17031691400,691400,0.0164681
14000US17031691500,691500,0.0243394
14000US17031700100,700100,0.0093063
14000US17031700200,700200,0.0037461
14000US17031700301,700301,0.0030341
14000US17031700302,700302,0.0022012
14000US17031700401,700401,0.0043956
14000US17031700402,700402,0.0042644
14000US17031700501,700501,0.0023459
14000US17031700502,700502,0.0034438
14000US17031710100,710100,0.0163099
14000US17031710200,710200,0.0153257
14000US17031710300,710300,0.0108181
14000US17031710400,710400,0.0102367
14000US17031710500,710500,0.0157895
14000US17031710600,710600,0.0275061
14000US17031710700,710700,0.0135542
14000US17031710800,710800,0.0125319
14000US17031710900,710900,0.0163112
14000US17031711000,711000,0.0124822
14000US17031711100,711100,0.0072833
14000US17031711200,711200,0.005655
14000US17031711300,711300,0.0082645
14000US17031711400,711400,0.0155779
14000US17031711500,711500,0.0058947
14000US17031720200,720200,0.0033253
14000US17031720300,720300,0.0006988
14000US17031720400,720400,0
14000US17031720500,720500,0.0025625
14000US17031720600,720600,0.0007321
14000US17031720700,720700,0.0008052
14000US17031730100,730100,0.0070291
14000US17031730201,730201,0.0094986
14000US17031730202,730202,0.0057336
14000US17031730300,730300,0.0071301
14000US17031730400,730400,0.0069953
14000US17031730500,730500,0.0037503
14000US17031730600,730600,0.0074855
14000US17031730700,730700,0.0151707
14000US17031740100,740100,0.0009013
14000US17031740200,740200,0.0008107
14000US17031740300,740300,0.000852
14000US17031740400,740400,0.0005672
14000US17031750100,750100,0.010582
14000US17031750200,750200,0.0048216
14000US17031750300,750300,0.0010493
14000US17031750400,750400,0.0008261
14000US17031750500,750500,0.006262
14000US17031750600,750600,0.0121096
14000US17031760801,760801,0.0013504
14000US17031760802,760802,0.0004564
14000US17031760803,760803,0.0005831
14000US17031770902,770902,0.0006252
14000US17031810400,810400,0.0002435
14000US17031812500,812500,
14000US17031817102,817102,
14000US17031821200,821200,
14000US17031821500,821500,
14000US17031827801,827801,
14000US17031830500,830500,0.0044897
14000US17031830600,830600,0.0049167
14000US17031830700,830700,0.016341
14000US17031830800,830800,0.0009443
14000US17031830900,830900,0.0025806
